CONFERENCE;TITLE;BOOKTITLE;SERIES;VOLUME;PUBLISHER;YEAR;ID
conf/ami/2008;Ambient Intelligence European Conference AmI 2008 Nuremberg Germany November 19-22 2008. Proceedings;AmI;Lecture Notes in Computer Science;5355;Springer;2008;978-3-540-89616-6
conf/ami/2008w;Constructing Ambient Intelligence - AmI 2008 Workshops Nuremberg Germany 19-22 2008. Revised Papers;AmI Workshops;Communications in Computer and Information Science;32;Springer;2009;978-3-642-10606-4
conf/ami/2009;Ambient Intelligence European Conference AmI 2009 Salzburg Austria November 18-21 2009. Proceedings;AMI;Lecture Notes in Computer Science;5859;Springer;2009;978-3-642-05407-5
conf/ami/2010;Ambient Intelligence - First International Joint Conference AmI 2010 Malaga Spain November 10-12 2010. Proceedings;AMI;Lecture Notes in Computer Science;6439;Springer;2010;978-3-642-16916-8
conf/ami/2011;Ambient Intelligence - Second International Joint Conference on AmI 2011 Amsterdam The Netherlands November 16-18 2011. Proceedings;AmI;Lecture Notes in Computer Science;7040;Springer;2011;978-3-642-25166-5
conf/ami/2011w;Constructing Ambient Intelligence - AmI 2011 Workshops Amsterdam The Netherlands November 16-18 2011. Revised Selected Papers;AMI Workshops;Communications in Computer and Information Science;277;Springer;2012;978-3-642-31478-0
conf/ami/2012;Ambient Intelligence - Third International Joint Conference AmI 2012 Pisa Italy November 13-15 2012. Proceedings;AmI;Lecture Notes in Computer Science;7683;Springer;2012;978-3-642-34897-6
conf/ami/2013;Ambient Intelligence - 4th International Joint Conference AmI 2013 Dublin Ireland December 3-5 2013. Proceedings;AmI;Lecture Notes in Computer Science;8309;Springer;2013;978-3-319-03646-5
conf/ami/2014;Ambient Intelligence European Conference AmI 2014 Eindhoven The Netherlands November 11-13 2014. Revised Selected Papers;AmI;Lecture Notes in Computer Science;8850;Springer;2014;978-3-319-14111-4
conf/ami/2015;Ambient Intelligence - 12th European Conference AmI 2015 Athens Greece November 11-13 2015 Proceedings;AmI;Lecture Notes in Computer Science;9425;Springer;2015;978-3-319-26004-4
conf/ami/2015w;Proceedings of Workshop and Poster Papers of the European Conference on Ambient Intelligence 2015 (AmI-15) Athens Greece November 11-13 2015.;AmI (Workshops/Posters);CEUR Workshop Proceedings;1528;CEUR-WS.org;2015;?
conf/ami/2017;Ambient Intelligence - 13th European Conference AmI 2017 Malaga Spain April 26-28 2017 Proceedings;AmI;Lecture Notes in Computer Science;10217;?;2017;978-3-319-56996-3
conf/amia/1997;AMIA 1997 American Medical Informatics Association Annual Symposium Nashville TN USA October 25-29 1997;AMIA;?;?;AMIA;1997;?
conf/amia/1998;AMIA 1998 American Medical Informatics Association Annual Symposium Lake Buena Vista FL USA November 7-11 1998;AMIA;?;?;AMIA;1998;?
conf/amia/1999;AMIA 1999 American Medical Informatics Association Annual Symposium Washington DC USA November 6-10 1999;AMIA;?;?;AMIA;1999;?
